INFO 2025-03-21 09:59:24,910 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-21 09:59:24,913 autoreload Waiting for apps ready_event.
DEBUG 2025-03-21 09:59:26,408 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-21 09:59:26,426 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2025-03-21 09:59:26,426 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\leaflet\templates with glob **/*.
DEBUG 2025-03-21 09:59:26,427 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-21 09:59:26,427 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,427 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\Mainapp\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,429 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,429 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\leaflet\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,429 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,430 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,430 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\gis\geos\prototypes\__init__.py first seen with mtime 1739957211.6782472
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1739957214.5706887
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1739957208.4829955
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1739957214.3258276
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\pathlib.py first seen with mtime 1712041974.0
DEBUG 2025-03-21 09:59:26,983 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\numpy\core\_asarray.py first seen with mtime 1739957175.1792448
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1739957214.4366536
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1739957214.294626
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1739957193.1511934
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\core\__init__.py first seen with mtime 1739957214.2536213
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1739957214.8726563
DEBUG 2025-03-21 09:59:26,984 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\yaml\nodes.py first seen with mtime 1739957162.6226215
